ID_Call,ID_Couple,Intruder,Owner,Sex,duration,element rate,peak freq(max),min freq(max),max freq(max),bandw(max),entropy(max),peak freq(mean),min freq(mean),max freq(mean),bandw(mean),entropy(mean),PC1,PC2,PC3,PC4,PC5
144,9,213,234,Male,0.00042,0.00025,7000,1000,60000,58000,0.305,8000,1000,58000,57000,0.311,-3.420524545,-1.832155418,-1.3921132,0.319142323,-0.783255591
145,9,213,234,Male,0.00674,0.00165,16000,4000,74000,70000,0.313,16000,2000,65000,62000,0.389,-1.881303474,-1.655474081,-0.796087335,0.65331806,-1.090821916
146,9,213,234,Male,0.02026,0.005,14000,8000,79000,70000,0.352,16000,2000,80000,77000,0.451,-0.571798257,-1.65958632,-0.138406731,2.202818369,-0.45782818
147,10,231,237,Male,0.09937,0.00152,35000,16000,77000,61000,0.377,33000,2000,83000,80000,0.491,0.333228463,-0.51028797,0.107571787,0.348990822,0.031667268
148,11,235,219,Female,0.16051,0.00192,57000,13000,76000,62000,0.328,55000,2000,80000,77000,0.473,0.731560053,0.37094176,0.136609552,-0.909984187,-0.081045963
149,11,235,219,Female,0.23283,0.00168,52000,32000,67000,35000,0.32,51000,4000,83000,79000,0.429,-0.000407274,1.878527003,0.044385637,-0.556928022,1.469188368
150,11,235,219,Female,0.11008,0.00117,49000,29000,77000,48000,0.311,43000,5000,84000,79000,0.406,0.140599004,1.404663755,-0.594325213,0.005775705,0.145089758
151,12,241,239,Male,0.14673,0.00148,55000,51000,62000,11000,0.168,19000,2000,76000,73000,0.421,-1.590486765,2.913768973,-1.1851438,1.130308608,2.29084794
152,12,241,239,Male,0.10892,0.00106,23000,4000,62000,58000,0.309,19000,2000,73000,70000,0.41,-1.670210928,-1.245810679,-0.73711121,0.131964666,0.20790155
153,12,241,239,Male,0.00004,0,26000,1000,90000,89000,0.442,26000,1000,90000,89000,0.442,1.243455548,-2.232982733,-0.758967586,0.354748754,-1.600930621
